rial_reward,dqn_reward,collisions,distance,winner,rial_smooth,dqn_smooth
-27.051283521425013,-54.10256704285001,0.0,1.7806525,rial,-47.518958282783245,-94.89791656556649
-45.91044253802917,-90.82088507605837,0.0,2.603421,rial,-47.42190851352512,-94.6904836937169
-45.44129246697856,-90.8825849339571,0.0,2.3186524,rial,-47.64082379513639,-95.12831425693946
-35.85115915035048,-74.20231830070097,4.0,1.6364293,rial,-47.52442141235567,-94.95550949137801
-59.350108708132574,-118.70021741626519,0.0,2.389633,rial,-47.50085642541258,-94.90837951749182
-74.84339304749903,-149.68678609499807,0.0,1.7173285,rial,-47.64087647154157,-95.1484196097498
-43.37491311304964,-86.74982622609924,0.0,1.6804869,rial,-47.458717220615846,-94.79076777456504
-44.87951226570211,-89.75902453140424,0.0,2.3032885,rial,-47.595285139618895,-95.06390361257112
-37.24456856910468,-74.98913713820939,0.0,2.4911,rial,-47.42045424913511,-94.72090849827023
-81.32097211828986,-162.64194423657972,0.0,1.5901598,rial,-47.879883865507196,-95.6597677310144
-54.16408165739994,-108.32816331479988,0.0,2.5423465,rial,-48.12486656741165,-96.14973313482331
-51.362642893432465,-100.7252857868649,5.0,1.9588039,rial,-48.08264999316886,-96.03863331967105
-37.19575826459763,-74.39151652919526,1.0,1.5538592,rial,-47.89589772904898,-95.68512879143131
-69.35675905567072,-138.7135181113414,9.0,1.5259987,rial,-48.31536225888943,-96.4840578511122
-41.03567076251355,-82.07134152502707,3.0,1.6253885,rial,-47.914204382492535,-95.68840876498507
-63.357948752934064,-126.71589750586814,0.0,1.6947415,rial,-48.08246899703838,-96.02493799407677
-44.92546610894925,-89.35093221789852,4.0,1.9713551,rial,-48.04751147995717,-95.95502295991433
-42.70568833423481,-84.9113766684696,0.0,1.5564704,rial,-47.8520252930711,-95.55738391947553
-49.7921616547759,-99.5843233095518,0.0,2.092547,rial,-48.045620565990326,-95.94457446531399
-55.67445048418495,-110.84890096836989,2.0,2.3863935,rial,-48.166405227232424,-96.17947712113151
-50.27811834118235,-98.0562366823647,4.0,2.502071,rial,-48.402050891775936,-96.6174351168852
-76.53258310021397,-153.06516620042788,5.0,0.44412386,rial,-48.95642955931573,-97.72619245196479
-33.86876904786747,-67.73753809573492,0.0,1.5473055,rial,-48.98398122458145,-97.7879624491629
-37.640906537416264,-76.28181307483253,4.0,2.1779869,rial,-48.658157841265925,-97.14964901586518
-48.99232251768435,-97.9846450353687,6.0,1.632575,rial,-48.645293689929886,-97.13725404652645
-50.03051149106852,-98.06102298213702,0.0,2.200696,rial,-48.537789539121334,-96.87557907824267
-36.19434777752326,-70.8886955550465,0.0,1.9003568,rial,-48.27482312530706,-96.32964625061412
-60.09044260921106,-120.18088521842213,0.0,2.5027132,rial,-48.46577628448376,-96.71155256896752
-44.51426133598721,-91.02852267197437,1.0,1.969583,rial,-48.64071620419463,-97.10809907505593
-59.315248564455345,-122.6304971289107,4.0,1.6175482,rial,-48.65312798987512,-97.18625597975023
-46.35139966497696,-92.7027993299539,0.0,1.5355136,rial,-48.53708985131795,-96.9541797026359
-63.18031034788267,-124.86062069576533,0.0,1.9463816,rial,-48.76405663092473,-97.38811326184947
-42.70648466159027,-87.41296932318055,0.0,2.3169653,rial,-48.54228525098483,-96.95790383530299
-46.28920998037991,-92.57841996075982,8.0,1.5925876,rial,-48.571072785703336,-97.01547890474001
-43.93470240757502,-87.36940481515003,0.0,2.659306,rial,-48.42394368556949,-96.71455403780564
-47.90603558281609,-95.81207116563219,0.0,1.9953258,rial,-48.52263308523929,-96.9185995038119
-37.583007695315175,-73.66601539063033,0.0,2.6024518,rial,-48.56834761695642,-96.99669523391285
-43.852178419853345,-85.70435683970669,6.0,1.6709656,rial,-48.43846334137356,-96.71026001608045
-55.47765558031229,-109.45531116062456,0.0,2.0964327,rial,-48.39054938027219,-96.58109876054438
-64.92516092244946,-129.85032184489899,0.0,2.3315916,rial,-48.75392688343432,-97.30785376686863
-57.02675284615871,-114.05350569231737,1.0,1.548591,rial,-48.93801080729892,-97.67602161459784
-45.06619570335844,-92.13239140671688,0.0,2.4277773,rial,-48.68549324283758,-97.24431981900848
-64.37638315695794,-128.2527663139159,6.0,2.4575055,rial,-48.95014542873118,-97.75362419079569
-44.9018975367262,-89.80379507345243,0.0,1.6394767,rial,-48.9090512203442,-97.67143577402175
-61.25643702232421,-125.51287404464841,0.0,2.777078,rial,-49.18832581667455,-98.26998496668243
